Player name,Games won as imposter,Games won as crew,Win percentage(overall),Voted Against Imposter,Voted against Crew members,Color preference,Voting rate
Isaac,0,3,100,4,0,Purple,57.14285714
DBatterskull,4,52,50.45045045,31,26,Blue,46.72131148
Adrien,0,1,50,0,0,Red,0
Dreamy,0,21,52.5,32,14,Pink,56.79012346
Rafon,0,6,75,6,1,Purple,70
Voxy,1,4,45.45454545,5,1,Cyan,31.57894737
ScaldingHotSoup,2,11,86.66666667,7,1,Pink,44.44444444
Eirik,4,17,63.63636364,20,6,White,44.82758621
Seven,1,14,55.55555556,16,8,Black,54.54545455
Ben P,0,5,71.42857143,2,2,Pink,50
Riley,0,3,37.5,1,2,Blue,18.75
hafu,1,2,60,4,0,Yellow,50
BradNelson,0,3,37.5,3,2,Lime,45.45454545
Aberdasher,0,3,75,4,0,White,80
Nick,1,19,46.51162791,24,10,Brown,52.30769231
Memes,5,40,57.69230769,46,24,Green,55.11811024
sponsz,0,2,50,3,0,Brown,33.33333333
CALC,1,1,100,,,Blue,
LSV,16,67,59.28571429,80,32,Red,54.90196078
coco,1,4,45.45454545,6,6,Purple,54.54545455
TomM,5,37,71.18644068,52,14,Lime,57.39130435
LeeSharpe,0,2,66.66666667,3,3,Red,85.71428571
flutter,7,21,80,17,3,Brown,48.7804878
PANCAKE,0,2,50,2,2,Cyan,66.66666667
Skadj,0,1,50,2,0,Orange,33.33333333
Andrew,8,77,58.62068966,96,35,Cyan,53.90946502
honk,3,27,50.84745763,36,15,Red,54.83870968
dokomoy,13,115,58.98617512,142,43,Cyan,51.67597765
Zyla,4,18,73.33333333,22,9,White,53.44827586
Ahamkara,12,89,61.96319018,106,38,White,51.42857143
FoxBox,2,9,68.75,9,10,Purple,59.375
Stranjak,1,1,66.66666667,2,0,White,100
Ambiance,1,3,57.14285714,4,1,White,55.55555556
Ryuu,1,7,50,5,7,Lime,44.44444444
Oltanya,10,67,63.63636364,70,26,Lime,51.61290323
TomRoss,0,7,50,9,4,Lime,46.42857143
dcsports8,0,26,56.52173913,30,11,Red,57.74647887
Dix,0,13,76.47058824,12,1,Lime,52
SamSherman,0,0,0,0,2,Blue,66.66666667
AbeyBaby,0,1,50,1,1,Brown,40
DaveWilliams,0,9,39.13043478,7,7,Black,41.17647059
Seabats,1,8,34.61538462,11,10,Orange,51.2195122
Barnabus,6,45,63.75,44,31,Brown,48.38709677
Kibler,3,21,60,27,10,Orange,52.85714286
jorbs,12,74,63.23529412,90,20,Pink,55.27638191
BK,32,142,64.44444444,178,56,Brown,53.91705069
Corey,1,6,53.84615385,7,4,Cyan,45.83333333
5up,5,9,82.35294118,15,2,Pink,58.62068966
wrapter,11,53,62.74509804,56,24,Cyan,49.68944099
Gaby,9,27,50.70422535,24,24,Pink,49.48453608
zlubars,9,71,52.98013245,91,31,Green,52.36051502
Trotske,2,6,57.14285714,8,2,White,62.5
Mani,16,74,64.74820144,88,29,Orange,57.07317073
Rada,1,22,62.16216216,25,3,Cyan,57.14285714
AshlenRose,1,4,62.5,4,1,Black,45.45454545
Keaton,13,75,61.97183099,96,25,Black,51.05485232
Fader,3,26,53.7037037,23,10,Purple,45.83333333
HGRose,3,24,55.10204082,31,14,Blue,53.57142857
BRazz,3,31,59.64912281,25,8,Black,46.47887324
Ian,9,71,66.11570248,66,36,Yellow,50
Toffel,1,9,45.45454545,14,5,Lime,48.71794872
Saku,0,6,42.85714286,7,3,Pink,40
Squirrel_Loot,0,12,80,11,3,Blue,50
JohnnyCatz,0,1,20,0,0,Yellow,0
CoolJets,5,29,53.96825397,24,17,Cyan,50
Colossus,0,2,66.66666667,1,0,Purple,14.28571429
MurkLurker,0,0,0,0,1,Purple,20
synthe,0,5,100,7,0,Yellow,87.5
Pheylop,16,110,68.47826087,136,43,Red,54.57317073
samie,0,1,33.33333333,1,1,Yellow,28.57142857
yoinkster,0,7,43.75,7,4,Orange,45.83333333
Sam,7,110,54.16666667,142,60,Black,52.06185567
Bloody,7,69,58.91472868,93,33,Purple,47.19101124
rettoto,0,0,0,1,0,Purple,50
TheAsianAvenger,1,3,30.76923077,5,5,Blue,52.63157895
